Time,X_vel_uav,Y_vel_uav,Z_vel_uav,R_vel_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1699298604.1500988,0.01,0.017,0.024,0.0021567316725850105,0,0,0,0
1699298604.2019398,0.01,0.017,0.024,0.0021567316725850105,0.0,-0.0,-0.0,-0.0
1699298604.252769,-0.012,0.024,0.02,0.0014679890591651201,0.0,-0.0,-0.0,-0.0
1699298604.3053956,-0.012,0.024,0.02,0.0014679890591651201,0.0,-0.0,-0.0,-0.0
1699298604.3549376,-0.012,0.024,0.02,-0.01553188357502222,0.0,-0.0,-0.0,-0.0
1699298604.407233,-0.012,0.024,0.02,-0.01553188357502222,0.0,-0.0,-0.0,-0.0
1699298604.4569714,-0.005,0.002,-0.002,-0.0023744977079331875,0.0,-0.0,-0.0,-0.0
1699298604.507522,-0.005,0.002,-0.002,-0.0023744977079331875,0.0,-0.0,-0.0,-0.0
1699298604.5584965,-0.005,0.002,-0.002,0.0011180471628904343,0.0,-0.0,-0.0,-0.0
1699298604.6106622,-0.005,0.002,-0.002,0.0011180471628904343,0.0,-0.0,-0.0,-0.0
1699298604.6608877,-0.005,0.017,0.019,-0.003928348887711763,0.0,-0.0,-0.0,-0.0
1699298604.712188,-0.005,0.017,0.019,-0.003928348887711763,0.0,-0.0,-0.0,-0.0
1699298604.763669,-0.005,0.017,0.019,0.007181873545050621,0.0,-0.0,-0.0,-0.0
1699298604.814087,-0.005,0.017,0.019,0.007181873545050621,0.0,-0.0,-0.0,-0.0
1699298604.8661811,-0.022,0.034999999999999996,-0.008,-0.0030769268050789833,0.0,-0.0,-0.0,-0.0
1699298604.9173365,-0.022,0.034999999999999996,-0.008,-0.0030769268050789833,0.0,-0.0,-0.0,-0.0
1699298604.9685462,-0.022,0.034999999999999996,-0.008,0.009229692630469799,0.0,-0.0,-0.0,-0.0
1699298605.0201747,-0.022,0.034999999999999996,-0.008,0.009229692630469799,0.0,-0.0,-0.0,-0.0
1699298605.0725644,-0.011,0.026000000000000002,-0.044,-0.00527573935687542,0.0,-0.0,-0.0,-0.0
1699298605.1233728,-0.011,0.026000000000000002,-0.044,-0.00527573935687542,0.0,-0.0,-0.0,-0.0
1699298605.1762114,-0.011,0.026000000000000002,-0.044,-0.001963129499927163,0.0,-0.0,-0.0,-0.0
1699298605.226174,-0.011,0.026000000000000002,-0.044,-0.001963129499927163,0.0,-0.0,-0.0,-0.0
1699298605.277534,-0.011,0.024,-0.051000000000000004,0.0023592165671288967,0.0,-0.0,-0.0,-0.0
1699298605.2789438,-0.011,0.024,-0.051000000000000004,0.0023592165671288967,0.0,-0.0,-0.0,-0.0
1699298605.3319347,-0.011,0.024,-0.051000000000000004,-0.0012446512700989842,0.0,-0.0,-0.0,-0.0
1699298605.3803933,-0.011,0.024,-0.051000000000000004,-0.0012446512700989842,0.0,-0.0,-0.0,-0.0
1699298605.4320593,0.0,0.026000000000000002,-0.037,-0.0036140193697065115,0.0,-0.0,-0.0,-0.0
1699298605.4836802,0.0,0.026000000000000002,-0.037,-0.0036140193697065115,0.0,-0.0,-0.0,-0.0
1699298605.5349433,0.0,0.026000000000000002,-0.037,0.0027528463397175074,0.0,-0.0,-0.0,-0.0
1699298605.5855067,0.0,0.026000000000000002,-0.037,0.0027528463397175074,0.0,-0.0,-0.0,-0.0
1699298605.6373858,0.011,0.004,-0.0,-0.0011963682482019067,0.0,-0.0,-0.0,-0.0
1699298605.6875165,0.011,0.004,-0.0,-0.0011963682482019067,0.0,-0.0,-0.0,-0.0
1699298605.7389543,0.011,0.004,-0.0,0.0031198705546557903,0.0,-0.0,-0.0,-0.0
1699298605.789696,0.011,0.004,-0.0,0.0031198705546557903,0.0,-0.0,-0.0,-0.0
1699298605.8418915,-0.004,0.017,0.051000000000000004,-0.004235367756336927,0.0,-0.0,-0.0,-0.0
1699298605.8918917,-0.004,0.017,0.051000000000000004,-0.004235367756336927,0.0,-0.0,-0.0,-0.0
1699298605.9433048,-0.004,0.017,0.051000000000000004,-0.008873454295098782,0.0,-0.0,-0.0,-0.0
1699298605.994826,-0.004,0.017,0.051000000000000004,-0.008873454295098782,0.0,-0.0,-0.0,-0.0
1699298606.045526,0.0,0.045,0.032,0.004297753795981407,0.0,-0.0,-0.0,-0.0
1699298606.0976784,0.0,0.045,0.032,0.004297753795981407,0.0,-0.0,-0.0,-0.0
1699298606.148438,0.0,0.045,0.032,0.005491628777235746,0.0,-0.0,-0.0,-0.0
1699298606.1998286,0.0,0.045,0.032,0.005491628777235746,0.0,-0.0,-0.0,-0.0
1699298606.2505505,-0.008,0.033,-0.032,-0.0075913844630122185,0.0,-0.0,-0.0,-0.0
1699298606.3027868,-0.008,0.033,-0.032,-0.0075913844630122185,0.0,-0.0,-0.0,-0.0
1699298606.3527832,-0.008,0.033,-0.032,0.004444127902388573,-0.0,0.5,0.0,-0.0
1699298606.4051733,-0.008,0.033,-0.032,0.004444127902388573,-0.0,0.5,0.0,-0.0
1699298606.4546602,-0.008,0.028999999999999998,-0.004,0.02272832579910755,-0.0,0.5,0.0,-0.0
1699298606.5088565,-0.008,0.028999999999999998,-0.004,0.02272832579910755,-0.0,0.5,0.0,-0.0
1699298606.5584924,-0.008,0.028999999999999998,-0.004,0.008160221390426159,-0.0,0.5,0.0,-0.0
1699298606.6100051,-0.008,0.028999999999999998,-0.004,0.008160221390426159,-0.0,0.5,0.0,-0.0
1699298606.6617057,-0.011,0.033,-0.025,0.0006233988096937537,-0.0,0.5,0.0,-0.0
1699298606.7122216,-0.011,0.033,-0.025,0.0006233988096937537,-0.0,0.5,0.0,-0.0
1699298606.7639031,-0.011,0.033,-0.025,-0.00737349595874548,-0.0,0.5,0.0,-0.0
1699298606.8140206,-0.011,0.033,-0.025,-0.00737349595874548,-0.0,0.5,0.0,-0.0
1699298606.866402,-0.003,0.099,-0.014000000000000002,0.023550767451524734,-0.0,0.5,0.0,-0.0
1699298606.916374,-0.003,0.099,-0.014000000000000002,0.023550767451524734,-0.0,0.5,0.0,-0.0
1699298606.9679132,-0.003,0.099,-0.014000000000000002,0.008466122671961784,-0.0,0.5,0.0,-0.0
1699298607.0179927,-0.003,0.099,-0.014000000000000002,0.008466122671961784,-0.0,0.5,0.0,-0.0
1699298607.0711935,0.008,0.19,0.004,-0.0026953499764204025,-0.0,0.5,0.0,-0.0
1699298607.1223993,0.008,0.19,0.004,-0.0026953499764204025,-0.0,0.5,0.0,-0.0
1699298607.175144,0.008,0.19,0.004,-0.0013187157455831766,-0.0,0.5,0.0,-0.0
1699298607.2251444,0.008,0.19,0.004,-0.0013187157455831766,-0.0,0.5,0.0,-0.0
