Time,X_vel_uav,Y_vel_uav,Z_vel_uav,R_vel_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,R_cmd_vel
1701197615.6084023,-0.008,-0.012,-0.033,0.0061688413843512535,0,0,0,0
1701197615.657281,-0.008,-0.012,-0.033,0.0061688413843512535,0,0,0,0
1701197615.7102318,-0.008,-0.012,-0.033,-0.007641708478331566,0,0,0,0
1701197615.7601917,-0.008,-0.012,-0.033,-0.007641708478331566,0,0,0,0
1701197615.814622,0.009,-0.032,-0.020999999999999998,0.004456102382391691,0,0,0,0
1701197615.8632414,0.009,-0.032,-0.020999999999999998,0.004456102382391691,0,0,0,0
1701197615.9171357,0.009,-0.032,-0.020999999999999998,0.018979474902153015,0,0,0,0
1701197615.9642873,0.009,-0.032,-0.020999999999999998,0.018979474902153015,0,0,0,0
1701197616.0157373,-0.024,0.064,-0.031,-0.014992526732385159,0,0,0,0
1701197616.0667562,-0.024,0.064,-0.031,-0.014992526732385159,0,0,0,0
1701197616.1175907,-0.024,0.064,-0.031,0.004501409363001585,0,0,0,0
1701197616.1681652,-0.024,0.064,-0.031,0.004501409363001585,0,0,0,0
1701197616.2196572,-0.015,0.040999999999999995,0.05,-0.0010355872800573707,0,0,0,0
1701197616.27189,-0.015,0.040999999999999995,0.05,-0.0010355872800573707,0,0,0,0
1701197616.3226504,-0.015,0.040999999999999995,0.05,0.0020993000362068415,0,0,0,0
1701197616.3749838,-0.015,0.040999999999999995,0.05,0.0020993000362068415,0,0,0,0
1701197616.424785,0.004,-0.019,0.059,-0.005664618220180273,0,0,0,0
1701197616.4740324,0.004,-0.019,0.059,-0.005664618220180273,0,0,0,0
1701197616.5261455,0.004,-0.019,0.059,-0.00401093065738678,0,0,0,0
1701197616.5760958,0.004,-0.019,0.059,-0.00401093065738678,0,0,0,0
1701197616.6287148,0.032,-0.063,0.043,-0.007011363748461008,0,0,0,0
1701197616.6807077,0.032,-0.063,0.043,-0.007011363748461008,0,0,0,0
1701197616.7309716,0.032,-0.063,0.043,-0.006317838095128536,0,0,0,0
1701197616.7812,0.032,-0.063,0.043,-0.006317838095128536,0,0,0,0
1701197616.8334682,0.022,-0.04,0.024,0.0027112518437206745,0,0,0,0
1701197616.8841307,0.022,-0.04,0.024,0.0027112518437206745,0,0,0,0
1701197616.9356856,0.022,-0.04,0.024,-0.00863766297698021,0,0,0,0
1701197616.9862657,0.022,-0.04,0.024,-0.00863766297698021,0,0,0,0
1701197617.0383272,0.004,-0.039,-0.025,0.010942128486931324,0,0,0,0
1701197617.088976,0.004,-0.039,-0.025,0.010942128486931324,0,0,0,0
1701197617.1407151,0.004,-0.039,-0.025,0.004027999006211758,0,0,0,0
1701197617.190931,0.004,-0.039,-0.025,0.004027999006211758,0,0,0,0
1701197617.2423449,-0.014000000000000002,-0.051000000000000004,-0.009,0.0017108269967138767,0,0,0,0
1701197617.293139,-0.014000000000000002,-0.051000000000000004,-0.009,0.0017108269967138767,0,0,0,0
1701197617.3451378,-0.014000000000000002,-0.051000000000000004,-0.009,0.001763883512467146,0,0,0,0
1701197617.3954742,-0.014000000000000002,-0.051000000000000004,-0.009,0.001763883512467146,0,0,0,0
1701197617.4505477,-0.006,-0.049,0.002,-0.004065781831741333,0,0,0,0
1701197617.5500205,-0.006,-0.049,0.002,-0.014132991433143616,0,0,0,0
1701197617.6014478,0.015,-0.048,0.028000000000000004,-0.019958412274718285,0,0,0,0
1701197617.6520216,0.015,-0.048,0.028000000000000004,-0.019958412274718285,0,0,0,0
1701197617.7054174,0.015,-0.048,0.028000000000000004,-0.014159624464809895,0,0,0,0
1701197617.7556224,0.015,-0.048,0.028000000000000004,-0.014159624464809895,0,0,0,0
1701197617.8095057,0.023,-0.039,0.01,0.0015969853848218918,0,0,0,0
1701197617.8586679,0.023,-0.039,0.01,0.0015969853848218918,0,0,0,0
1701197617.9115133,0.023,-0.039,0.01,0.021338334307074547,0,0,0,0
1701197617.9590821,0.023,-0.039,0.01,0.021338334307074547,0,0,0,0
1701197618.0108862,0.009,-0.008,0.013000000000000001,0.0047982968389987946,0,0,0,0
1701197618.0608628,0.009,-0.008,0.013000000000000001,0.0047982968389987946,0,0,0,0
1701197618.1138425,0.009,-0.008,0.013000000000000001,-0.0016022664494812489,0,0,0,0
1701197618.1630116,0.009,-0.008,0.013000000000000001,-0.0016022664494812489,0,0,0,0
1701197618.2142496,-0.011,-0.023,-0.0,-0.023608364164829254,0,0,0,0
1701197618.2649841,-0.011,-0.023,-0.0,-0.023608364164829254,0,0,0,0
1701197618.317992,-0.011,-0.023,-0.0,-0.01199573464691639,0,0,0,0
1701197618.3697615,-0.011,-0.023,-0.0,-0.01199573464691639,0,0,0,0
1701197618.4198549,-0.013000000000000001,-0.061,-0.024,0.003529962617903948,0,0,0,0
1701197618.4709902,-0.013000000000000001,-0.061,-0.024,0.003529962617903948,0,0,0,0
1701197618.5235085,-0.013000000000000001,-0.061,-0.024,-0.007993760518729687,0,0,0,0
1701197618.573981,-0.013000000000000001,-0.061,-0.024,-0.007993760518729687,0,0,0,0
1701197618.6243377,0.002,-0.06,-0.028999999999999998,-0.007020366378128529,0,0,0,0
1701197618.6749547,0.002,-0.06,-0.028999999999999998,-0.007020366378128529,0,0,0,0
1701197618.7275407,0.002,-0.06,-0.028999999999999998,-0.008209187537431717,0,0,0,0
1701197618.778293,0.002,-0.06,-0.028999999999999998,-0.008209187537431717,0,0,0,0
1701197618.8306363,0.018,-0.046,0.024,-0.006076237186789513,0,0,0,0
1701197618.879858,0.018,-0.046,0.024,-0.006076237186789513,0,0,0,0
1701197618.9314778,0.018,-0.046,0.024,-0.008425282314419746,0,0,0,0
1701197618.9819274,0.018,-0.046,0.024,-0.008425282314419746,0,0,0,0
1701197619.0346231,0.009,-0.037,0.034,-0.00806359201669693,0,0,0,0
1701197619.0849304,0.009,-0.037,0.034,-0.00806359201669693,0,0,0,0
1701197619.138336,0.009,-0.037,0.034,-0.012746049091219902,0,0,0,0
1701197619.1878164,0.009,-0.037,0.034,-0.012746049091219902,0,0,0,0
1701197619.241352,0.009,-0.020999999999999998,0.046,-0.014031543396413326,0,0,0,0
1701197619.289842,0.009,-0.020999999999999998,0.046,-0.014031543396413326,0,0,0,0
1701197619.342335,0.009,-0.020999999999999998,0.046,-0.01712878607213497,0,0,0,0
1701197619.3929217,0.009,-0.020999999999999998,0.046,-0.01712878607213497,0,0,0,0
1701197619.444455,0.013000000000000001,-0.038,0.051000000000000004,-0.005471300333738327,0,0,0,0
1701197619.4451742,0.013000000000000001,-0.038,0.051000000000000004,-0.005471300333738327,0,0,0,0
1701197619.4953353,0.013000000000000001,-0.038,0.051000000000000004,-0.005471300333738327,0,0,0,0
1701197619.5487945,0.013000000000000001,-0.038,0.051000000000000004,-0.006655873730778694,0,0,0,0
1701197619.6496844,0.005,-0.05,0.044,0.0029180373530834913,0,0,0,0
1701197619.6504936,0.005,-0.05,0.044,0.0029180373530834913,0,0,0,0
1701197619.7023466,0.005,-0.05,0.044,0.003974870778620243,0,0,0,0
1701197619.7520096,0.005,-0.05,0.044,0.003974870778620243,0,0,0,0
1701197619.8048377,0.0,-0.04,0.028999999999999998,0.014586793258786201,0,0,0,0
1701197619.855004,0.0,-0.04,0.028999999999999998,0.014586793258786201,0,0,0,0
1701197619.9076393,0.0,-0.04,0.028999999999999998,0.004016272723674774,0,0,0,0
1701197619.9579515,0.0,-0.04,0.028999999999999998,0.004016272723674774,0,0,0,0
1701197620.012071,0.019,-0.034999999999999996,0.037,-0.0074859075248241425,0,0,0,0
1701197620.060677,0.019,-0.034999999999999996,0.037,-0.0074859075248241425,0,0,0,0
1701197620.1111865,0.019,-0.034999999999999996,0.037,-0.015867359936237335,0,0,0,0
1701197620.1618493,0.019,-0.034999999999999996,0.037,-0.015867359936237335,0,0,0,0
1701197620.2184935,-0.03,-0.023,0.009,-0.007461688481271267,0,0,0,0
1701197620.2643228,-0.03,-0.023,0.009,-0.007461688481271267,0,0,0,0
1701197620.3154511,-0.03,-0.023,0.009,0.001295796362683177,0,0,0,0
1701197620.365941,-0.03,-0.023,0.009,0.001295796362683177,0,0,0,0
1701197620.4195528,-0.013000000000000001,-0.040999999999999995,0.022,-0.01610901765525341,0,0,0,0
