Time,X Position,Y Position,Z Position,yaw
1694456522962768725,-0.0,0.0,0.0,-0.0
1694456523012719573,-0.0,0.0,0.0,-0.0
1694456523062941904,-0.0,0.0,0.0,-0.0
1694456523112711141,-0.0,0.0,0.0,-0.0
1694456523162772830,-0.0,0.0,0.0,-0.0
1694456523212724109,-0.0,0.0,0.0,-0.0
1694456523262912908,-0.0,0.0,0.0,-0.0
1694456523312774032,-0.0,0.0,0.0,-0.0
1694456523363083468,-0.0,0.0,0.0,-0.0
1694456523412640779,-0.0,0.0,0.0,-0.0
1694456523462749511,-0.0,0.0,0.0,-0.0
1694456523512681307,-0.0,0.0,0.0,-0.0
1694456523562778113,-0.0,0.0,0.0,-0.0
1694456523612684868,-0.0,0.0,0.0,-0.0
1694456523662720446,-0.0,0.0,0.0,-0.0
1694456523712709665,-0.0,0.0,0.0,-0.0
1694456523762621514,-0.0,0.0,0.0,-0.0
1694456523812739222,-0.0,0.0,0.0,-0.0
1694456523862768005,-0.0,0.0,0.0,-0.0
1694456523912778689,-0.0,0.0,0.0,-0.0
1694456523962719441,-0.0,0.0,0.0,-0.0
1694456524012687527,-0.0,0.0,0.0,-0.0
1694456524062827365,-0.0,0.0,0.0,-0.0
1694456524112710263,-0.0,0.0,0.0,-0.0
1694456524162722417,-0.0,0.0,0.0,-0.0
1694456524212757743,-0.0,0.0,0.0,-0.0
1694456524262696136,-0.0,0.0,0.0,-0.0
1694456524313347032,-0.0,1.0,0.0,-0.0
1694456524362710535,-0.0,1.0,0.0,-0.0
1694456524413034316,-0.0,1.0,0.0,-0.0
1694456524462735574,-0.0,1.0,0.0,-0.0
1694456524513024636,-0.0,1.0,0.0,-0.0
1694456524562715569,-0.0,1.0,0.0,-0.0
1694456524612834369,-0.0,1.0,0.0,-0.0
1694456524662730993,-0.0,1.0,0.0,-0.0
1694456524712722843,-0.0,1.0,0.0,-0.0
1694456524762927955,-0.0,1.0,0.0,-0.0
1694456524812804862,-0.0,1.0,0.0,-0.0
1694456524862821325,-0.0,1.0,0.0,-0.0
1694456524912710325,-0.0,1.0,0.0,-0.0
1694456524962815590,-0.0,1.0,0.0,-0.0
1694456525012773689,-0.0,1.0,0.0,-0.0
1694456525062900708,-0.0,1.0,0.0,-0.0
1694456525112688705,-0.0,1.0,0.0,-0.0
1694456525162838517,-0.0,1.0,0.0,-0.0
1694456525212734319,-0.0,1.0,0.0,-0.0
1694456525262836530,-0.0,1.0,0.0,-0.0
1694456525312815888,-0.0,1.0,0.0,-0.0
1694456525362862007,-0.0,1.0,0.0,-0.0
1694456525412762191,-0.0,1.0,0.0,-0.0
1694456525462821890,-0.0,1.0,0.0,-0.0
1694456525512742893,-0.0,1.0,0.0,-0.0
1694456525562794985,-0.0,1.0,0.0,-0.0
1694456525612743046,-0.0,1.0,0.0,-0.0
1694456525662846270,-0.0,1.0,0.0,-0.0
1694456525712737553,-0.0,1.0,0.0,-0.0
1694456525762757736,-0.0,1.0,0.0,-0.0
1694456525812799312,-0.0,1.0,0.0,-0.0
1694456525862705242,-0.0,1.0,0.0,-0.0
1694456525912739863,-0.0,1.0,0.0,-0.0
1694456525962704945,-0.0,1.0,0.0,-0.0
1694456526012734134,-0.0,1.0,0.0,-0.0
1694456526063033387,-0.0,1.0,0.0,-0.0
1694456526112678516,-0.0,1.0,0.0,-0.0
1694456526162816433,-0.0,1.0,0.0,-0.0
1694456526212695937,-0.0,1.0,0.0,-0.0
1694456526262722205,-0.0,1.0,0.0,-0.0
1694456526312678040,-0.0,1.0,0.0,-0.0
1694456526362728703,-0.0,1.0,0.0,-0.0
1694456526412763346,-0.0,1.0,0.0,-0.0
1694456526462697404,-0.0,1.0,0.0,-0.0
1694456526512746226,-0.0,1.0,0.0,-0.0
1694456526562849027,-0.0,1.0,0.0,-0.0
1694456526612743708,-0.0,1.0,0.0,-0.0
1694456526663080225,-0.0,1.0,0.0,-0.0
1694456526712718269,-0.0,1.0,0.0,-0.0
1694456526762770393,-0.0,1.0,0.0,-0.0
1694456526812677771,-0.0,1.0,0.0,-0.0
1694456526862823634,-0.0,1.0,0.0,-0.0
1694456526912760165,-0.0,1.0,0.0,-0.0
1694456526962995893,-0.0,1.0,0.0,-0.0
1694456527012724267,-0.0,1.0,0.0,-0.0
1694456527063002338,-0.0,1.0,0.0,-0.0
1694456527112727965,-0.0,1.0,0.0,-0.0
1694456527163016108,-0.0,1.0,0.0,-0.0
1694456527212732641,-0.0,1.0,0.0,-0.0
1694456527262713074,-0.0,1.0,0.0,-0.0
1694456527312757214,-0.0,1.0,0.0,-0.0
1694456527362736140,-0.0,1.0,0.0,-0.0
1694456527412738471,-0.0,1.0,0.0,-0.0
1694456527462739351,-0.0,1.0,0.0,-0.0
1694456527512702711,-0.0,1.0,0.0,-0.0
1694456527562733994,-0.0,1.0,0.0,-0.0
1694456527612760520,-0.0,1.0,0.0,-0.0
1694456527662702363,-0.0,1.0,0.0,-0.0
1694456527712823372,-0.0,1.0,0.0,-0.0
1694456527762964811,-0.0,0.0,0.0,-0.0
1694456527812756000,-0.0,0.0,0.0,-0.0
1694456527862861725,-0.0,0.0,0.0,-0.0
1694456527912729564,-0.0,0.0,0.0,-0.0
1694456527962803847,-0.0,0.0,0.0,-0.0
1694456528012707781,-0.0,0.0,0.0,-0.0
1694456528062762574,-0.0,0.0,0.0,-0.0
1694456528112778162,-0.0,0.0,0.0,-0.0
1694456528162746758,-0.0,0.0,0.0,-0.0
1694456528212700752,-0.0,0.0,0.0,-0.0
1694456528263000911,-0.0,0.0,0.0,-0.0
1694456528312777344,-0.0,0.0,0.0,-0.0
1694456528362836896,-0.0,0.0,0.0,-0.0
1694456528412710070,-0.0,0.0,0.0,-0.0
1694456528463138301,-0.0,0.0,0.0,-0.0
1694456528512757447,-0.0,0.0,0.0,-0.0
1694456528562762046,-0.0,0.0,0.0,-0.0
1694456528612916696,-0.0,0.0,0.0,-0.0
1694456528662897967,-0.0,0.0,0.0,-0.0
1694456528712677288,-0.0,0.0,0.0,-0.0
1694456528762734315,-0.0,0.0,0.0,-0.0
1694456528812794038,-0.0,0.0,0.0,-0.0
1694456528862664903,-0.0,0.0,0.0,-0.0
1694456528912724895,-0.0,0.0,0.0,-0.0
1694456528962731511,-0.0,0.0,0.0,-0.0
1694456529012685925,-0.0,0.0,0.0,-0.0
1694456529062708961,-0.0,0.0,0.0,-0.0
1694456529112704042,-0.0,0.0,0.0,-0.0
1694456529162741087,-0.0,0.0,0.0,-0.0
1694456529212703418,-0.0,0.0,0.0,-0.0
1694456529262675411,-0.0,0.0,0.0,-0.0
1694456529312752036,-0.0,0.0,0.0,-0.0
1694456529362753623,-0.0,0.0,0.0,-0.0
1694456529412700974,-0.0,0.0,0.0,-0.0
1694456529462964817,-0.0,0.0,0.0,-0.0
1694456529512745341,-0.0,0.0,0.0,-0.0
1694456529562722107,-0.0,0.0,0.0,-0.0
1694456529612807437,-0.0,0.0,0.0,-0.0
1694456529662720392,-0.0,0.0,0.0,-0.0
1694456529712798636,-0.0,0.0,0.0,-0.0
1694456529762791695,-0.0,0.0,0.0,-0.0
1694456529812781847,-0.0,0.0,0.0,-0.0
1694456529862700639,-0.0,0.0,0.0,-0.0
1694456529912676659,-0.0,0.0,0.0,-0.0
1694456529962710858,-0.0,0.0,0.0,-0.0
1694456530012734502,-0.0,0.0,0.0,-0.0
1694456530062708653,-0.0,0.0,0.0,-0.0
1694456530112715581,-0.0,0.0,0.0,-0.0
1694456530162660504,-0.0,0.0,0.0,-0.0
1694456530212734158,-0.0,0.0,0.0,-0.0
1694456530262675108,-0.0,0.0,0.0,-0.0
1694456530312690538,-0.0,0.0,0.0,-0.0
1694456530362747308,-0.0,0.0,0.0,-0.0
1694456530412601978,-0.0,0.0,0.0,-0.0
1694456530462589589,-0.0,0.0,0.0,-0.0
1694456530512658372,-0.0,0.0,0.0,-0.0
1694456530562686897,-0.0,0.0,0.0,-0.0
1694456530612786225,-0.0,0.0,0.0,-0.0
1694456530662709216,-0.0,0.0,0.0,-0.0
1694456530712721901,-0.0,0.0,0.0,-0.0
1694456530762722502,-0.0,0.0,0.0,-0.0
1694456530812709517,-0.0,0.0,0.0,-0.0
1694456530862734942,-0.0,0.0,0.0,-0.0
1694456530912695537,-0.0,0.0,0.0,-0.0
1694456530962908462,-0.0,0.0,0.0,-0.0
1694456531012753601,-0.0,0.0,0.0,-0.0
1694456531062712589,-0.0,0.0,0.0,-0.0
1694456531112739444,-0.0,0.0,0.0,-0.0
1694456531162733052,-0.0,0.0,0.0,-0.0
1694456531212712521,-0.0,0.0,0.0,-0.0
1694456531262727774,-0.0,0.0,0.0,-0.0
1694456531312782621,-0.0,0.0,0.0,-0.0
