Time,X_vel_uav,Y_vel_uav,Z_vel_uav,yaw_vel_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,yaw_cmd_vel
1694872852.61779,0.0,-0.008,0.006,-0.004303759895265102,0,0,0,0
1694872852.66589,0.0,-0.008,0.006,-0.014480278827250004,0,0,0,0
1694872852.7218347,0.0,-0.008,0.006,-0.014480278827250004,-0.0,0.0,0.0,-0.0
1694872852.767959,0.0,-0.018,0.011,-0.0049933455884456635,-0.0,0.0,0.0,-0.0
1694872852.820853,0.0,-0.018,0.011,-0.0049933455884456635,-0.0,0.0,0.0,-0.0
1694872852.8700037,0.0,-0.018,0.011,-0.0032930385787039995,-0.0,0.0,0.0,-0.0
1694872852.921142,0.0,-0.018,0.011,-0.0032930385787039995,-0.0,0.0,0.0,-0.0
1694872852.9720144,0.0,-0.007000000000000001,0.016,0.0027008431497961283,-0.0,0.0,0.0,-0.0
1694872853.0234804,0.0,-0.007000000000000001,0.016,0.0027008431497961283,-0.0,0.0,0.0,-0.0
1694872853.075485,0.0,-0.007000000000000001,0.016,-0.008738191798329353,-0.0,0.0,0.0,-0.0
1694872853.1256473,0.0,-0.007000000000000001,0.016,-0.008738191798329353,-0.0,0.0,0.0,-0.0
1694872853.178082,-0.005,0.002,0.01,-0.001053470652550459,-0.0,0.0,0.0,-0.0
1694872853.2274823,-0.005,0.002,0.01,-0.001053470652550459,-0.0,0.0,0.0,-0.0
1694872853.2799757,-0.005,0.002,0.01,-0.0068419999442994595,-0.0,0.0,0.0,-0.0
1694872853.2822652,-0.005,0.002,0.01,-0.0068419999442994595,-0.0,0.0,0.0,-0.0
1694872853.3851433,-0.005,-0.011,0.001,-0.001618964713998139,-0.0,0.0,0.0,-0.0
1694872853.388509,-0.005,-0.011,0.001,-0.001618964713998139,-0.0,0.0,0.0,-0.0
1694872853.4345376,-0.005,-0.011,0.001,-0.005951261147856712,-0.0,0.0,0.0,-0.0
1694872853.4857562,-0.005,-0.011,0.001,-0.005951261147856712,-0.0,1.0,0.0,-0.0
1694872853.5361302,-0.004,-0.012,0.001,0.011480702087283134,-0.0,1.0,0.0,-0.0
1694872853.5876029,-0.004,-0.012,0.001,0.011480702087283134,-0.0,1.0,0.0,-0.0
1694872853.6392374,-0.004,-0.012,0.001,0.008891347795724869,-0.0,1.0,0.0,-0.0
1694872853.6897595,-0.004,-0.012,0.001,0.008891347795724869,-0.0,1.0,0.0,-0.0
1694872853.743785,-0.005,0.01,0.006,-0.017567329108715057,-0.0,1.0,0.0,-0.0
1694872853.7918546,-0.005,0.01,0.006,-0.017567329108715057,-0.0,1.0,0.0,-0.0
1694872853.8431246,-0.005,0.01,0.006,-0.0007832363480702043,-0.0,1.0,0.0,-0.0
1694872853.8944082,-0.005,0.01,0.006,-0.0007832363480702043,-0.0,1.0,0.0,-0.0
1694872853.945896,-0.005,0.173,0.01,-0.002360344398766756,-0.0,1.0,0.0,-0.0
1694872853.9973733,-0.005,0.173,0.01,-0.002360344398766756,-0.0,1.0,0.0,-0.0
1694872854.0490773,-0.005,0.173,0.01,-0.009845328517258167,-0.0,1.0,0.0,-0.0
1694872854.0994108,-0.005,0.173,0.01,-0.009845328517258167,-0.0,1.0,0.0,-0.0
1694872854.1516736,0.004,0.34199999999999997,0.007000000000000001,0.007281783036887646,-0.0,1.0,0.0,-0.0
1694872854.2027645,0.004,0.34199999999999997,0.007000000000000001,0.007281783036887646,-0.0,1.0,0.0,-0.0
1694872854.2545252,0.004,0.34199999999999997,0.007000000000000001,0.005149242002516985,-0.0,1.0,0.0,-0.0
1694872854.3053806,0.004,0.34199999999999997,0.007000000000000001,0.005149242002516985,-0.0,1.0,0.0,-0.0
1694872854.3580067,0.015,0.491,0.004,-0.0019077940378338099,-0.0,1.0,0.0,-0.0
1694872854.4088514,0.015,0.491,0.004,-0.0019077940378338099,-0.0,1.0,0.0,-0.0
1694872854.4659846,0.015,0.491,0.004,0.004049739800393581,-0.0,1.0,0.0,-0.0
1694872854.5113142,0.015,0.491,0.004,0.004049739800393581,-0.0,1.0,0.0,-0.0
1694872854.5642157,0.026000000000000002,0.596,0.002,-0.0031766335014253855,-0.0,1.0,0.0,-0.0
1694872854.6145387,0.026000000000000002,0.596,0.002,-0.0031766335014253855,-0.0,1.0,0.0,-0.0
1694872854.6671052,0.026000000000000002,0.596,0.002,-0.017304860055446625,-0.0,1.0,0.0,-0.0
1694872854.7173605,0.026000000000000002,0.596,0.002,-0.017304860055446625,-0.0,1.0,0.0,-0.0
1694872854.7689,0.040999999999999995,0.667,0.005,-0.002523847157135606,-0.0,1.0,0.0,-0.0
1694872854.8193054,0.040999999999999995,0.667,0.005,-0.002523847157135606,-0.0,1.0,0.0,-0.0
1694872854.872794,0.040999999999999995,0.667,0.005,-0.01550360955297947,-0.0,1.0,0.0,-0.0
1694872854.922319,0.040999999999999995,0.667,0.005,-0.01550360955297947,-0.0,1.0,0.0,-0.0
1694872854.974313,0.034,0.734,0.019,-0.007636258844286203,-0.0,1.0,0.0,-0.0
1694872855.0246553,0.034,0.734,0.019,-0.007636258844286203,-0.0,1.0,0.0,-0.0
1694872855.0808375,0.034,0.734,0.019,0.0014735893346369267,-0.0,1.0,0.0,-0.0
1694872855.1273084,0.034,0.734,0.019,0.0014735893346369267,-0.0,1.0,0.0,-0.0
1694872855.1796227,0.026000000000000002,0.771,0.015,-0.012109820730984211,-0.0,1.0,0.0,-0.0
1694872855.181744,0.026000000000000002,0.771,0.015,-0.012109820730984211,-0.0,1.0,0.0,-0.0
